date,cum_units
2017-10-28,73.41999999999999
2017-10-29,82.99999999999999
2017-10-30,77.32999999999998
2017-10-31,83.10999999999999
2017-11-01,81.10999999999999
2017-11-03,76.67999999999998
2017-11-04,59.46999999999998
2017-11-05,60.34999999999998
2017-11-06,64.04999999999998
2017-11-08,63.04999999999998
2017-11-11,61.719999999999985
2017-11-12,68.56999999999998
2017-11-13,67.56999999999998
2017-11-17,69.82999999999998
2017-11-18,75.14999999999998
2017-11-19,77.86999999999998
2017-11-20,86.12999999999998
2017-11-21,83.27999999999999
2017-11-22,80.27999999999999
2017-11-24,75.82
2017-11-25,69.63
2017-11-26,60.36
2017-11-27,59.26
2017-11-28,60.4
2017-11-29,58.32
2017-12-01,49.879999999999995
2017-12-02,69.61
2017-12-03,72.08
2017-12-04,72.25999999999999
2017-12-05,73.1
2017-12-08,78.88
2017-12-09,79.21
2017-12-10,76.36999999999999
2017-12-11,75.77
2017-12-12,76.19999999999999
2017-12-13,65.04999999999998
2017-12-14,64.43999999999998
2017-12-15,64.43999999999998
2017-12-16,62.23999999999998
2017-12-17,76.20999999999998
2017-12-18,78.88999999999999
2017-12-19,77.13999999999999
2017-12-20,82.99999999999999
2017-12-21,86.32
2017-12-22,88.6
2017-12-23,103.39999999999999
2017-12-24,100.66999999999999
2017-12-25,101.66999999999999
2017-12-26,114.08999999999999
2017-12-27,110.38999999999999
2017-12-28,112.09999999999998
2017-12-29,110.36999999999998
2017-12-30,115.51999999999998
2017-12-31,113.51999999999998
2018-01-01,111.32999999999998
2018-01-02,110.82999999999998
2018-01-03,113.70999999999998
2018-01-04,111.70999999999998
2018-01-05,110.70999999999998
2018-01-06,104.52999999999997
2018-01-07,111.42999999999998
2018-01-08,112.13999999999997
2018-01-09,115.53999999999998
2018-01-12,114.49999999999997
2018-01-13,129.18999999999997
2018-01-14,125.39999999999996
2018-01-15,124.64999999999996
2018-01-16,137.01999999999995
2018-01-17,138.28999999999996
2018-01-19,140.40999999999997
2018-01-20,154.53999999999996
2018-01-21,161.05999999999997
2018-01-22,159.05999999999997
2018-01-23,162.11999999999998
2018-01-24,163.08999999999997
2018-01-26,159.39
2018-01-27,165.7
2018-01-28,160.85
2018-01-29,159.45
2018-01-30,160.10999999999999
2018-01-31,154.16
2018-02-02,152.82999999999998
2018-02-03,181.69
2018-02-04,190.7
2018-02-05,187.95
2018-02-06,188.85
2018-02-07,188.91
2018-02-09,185.85
2018-02-10,200.1
2018-02-11,206.07
2018-02-12,204.81
2018-02-13,204.06
2018-02-16,208.35
2018-02-17,201.10999999999999
2018-02-18,199.32
2018-02-19,198.4
2018-02-20,193.65
2018-02-21,191.95000000000002
2018-02-23,193.12
2018-02-24,184.65
2018-02-25,174.59
2018-02-26,174.73
2018-02-27,177.39999999999998
2018-02-28,175.78999999999996
2018-03-01,172.63999999999996
2018-03-02,165.58999999999995
2018-03-03,168.80999999999995
2018-03-04,173.12999999999994
2018-03-05,173.09999999999994
2018-03-06,166.31999999999994
2018-03-07,166.39999999999995
2018-03-09,169.43999999999994
2018-03-10,190.14999999999995
2018-03-11,184.25999999999996
2018-03-12,181.52999999999997
2018-03-13,187.59999999999997
2018-03-14,186.58999999999997
2018-03-16,192.17999999999998
2018-03-17,169.32
2018-03-18,174.82
2018-03-19,174.07999999999998
2018-03-20,176.54
2018-03-24,167.48999999999998
2018-03-25,167.71999999999997
2018-03-27,167.41999999999996
2018-03-28,169.66999999999996
2018-03-29,163.04999999999995
2018-03-30,162.52999999999994
2018-03-31,151.06999999999994
2018-04-01,157.77999999999994
2018-04-02,160.53999999999994
2018-04-03,154.70999999999992
2018-04-04,154.9099999999999
2018-04-06,161.67999999999992
2018-04-07,151.80999999999992
2018-04-08,146.6999999999999
2018-04-09,150.1999999999999
2018-04-10,158.1899999999999
2018-04-12,160.7899999999999
2018-04-13,160.77999999999992
2018-04-14,164.9199999999999
2018-04-15,160.7199999999999
2018-04-16,163.2199999999999
2018-04-17,157.54999999999993
2018-04-18,161.67999999999992
2018-04-19,159.07999999999993
2018-04-20,155.17999999999992
2018-04-21,168.64999999999992
2018-04-22,183.39999999999992
2018-04-23,179.89999999999992
2018-04-24,176.58999999999992
2018-04-25,178.63999999999993
2018-04-27,174.28999999999994
2018-04-28,227.57999999999993
2018-04-29,227.12999999999994
2018-04-30,222.30999999999995
2018-05-01,224.04999999999995
2018-05-04,226.78999999999996
2018-05-05,225.65999999999997
2018-05-06,233.61999999999998
2018-05-07,229.61999999999998
2018-05-08,234.67
2018-05-09,236.75
2018-05-10,235.75
2018-05-11,235.46
2018-05-12,249.57
2018-05-13,252.43
2018-05-14,252.64000000000001
2018-05-18,248.25
2018-05-19,249.63
2018-05-20,255.57999999999998
2018-05-21,254.57999999999998
2018-05-27,252.57999999999998
2018-06-02,250.10999999999999
2018-07-27,248.55999999999997
2018-07-28,248.78999999999996
2018-07-29,249.07999999999996
2018-08-03,248.75999999999996
2018-08-04,243.84999999999997
2018-08-05,240.84999999999997
2018-08-06,239.84999999999997
2018-08-07,238.23999999999995
2018-08-10,238.39999999999995
2018-08-11,245.88999999999996
2018-08-12,238.72999999999996
2018-08-13,238.75999999999996
2018-08-14,242.50999999999996
2018-08-17,244.45999999999995
2018-08-18,266.28
2018-08-19,274.79999999999995
2018-08-20,277.78
2018-08-21,281.03
