sport,close_source,market,n,move_rate,mean_abs_move,n_same,ll_diff,t_iid,t_date,p_date,n_moved,directional,p_binom,gate_a,gate_b
NBA,FanDuel,reb_ast,6525,0.2749425287356322,1.0997770345596432,4731,0.00264672257222501,2.7986502150276413,3.0522300907023605,0.002660411187491036,1794,0.596989966555184,2.0685469303482784e-16,True,True
NBA,FanDuel,rebounds,9475,0.1929287598944591,1.0514223194748358,7647,0.004252250204409724,4.501793244372203,3.6990536770088,0.0002763381654362638,1828,0.611597374179431,1.1898008259966327e-21,True,True
NBA,FanDuel,steals,2604,0.03955453149001536,1.0,2501,0.0005935259978210822,0.48185171965444556,0.500151177985209,0.6176601483515323,103,0.6504854368932039,0.0029291945870261924,False,False
NBA,FanDuel,threes,8571,0.07677050519192627,1.0030395136778116,7913,0.0020816772445298487,2.2768980881971173,2.196744842283072,0.02913273815690284,658,0.6382978723404256,1.2390131929625485e-12,False,True
NBA,FanDuel,_ALL_,68782,0.3059230612660289,1.3686911890504705,47740,0.002232345984097223,7.360067665916589,4.9570872886860835,1.4679159682206774e-06,21042,0.5907233152742135,1.9619271450062375e-153,True,True
NBA,FanDuel|fd_open,_ALL_,44202,0.26383421564635084,1.4109072200308694,32540,0.0023699774844147216,7.426754212978903,3.9455014710911125,0.00010951687982637877,11662,0.5980106328245584,5.29795623659782e-100,True,True
NBA,DraftKings,assists,8142,0.19233603537214444,1.028735632183908,6576,0.00506204815876976,4.445366173062329,3.14287652548445,0.0019147281628815649,1566,0.6257982120051085,1.7930591114666162e-23,True,True
NBA,DraftKings,blocks,2189,0.04202832343535861,1.0,2097,-0.0002909972774351649,-0.19000469598789968,1.1856655494289492,0.2371336221193761,92,0.6086956521739131,0.04701156164485404,False,False
NBA,DraftKings,points,10714,0.44325182004853464,1.3434407243630238,5965,0.00213584810361535,3.5759427967931696,2.063353445059948,0.04031470159033173,4749,0.5733838702884818,4.609700223534313e-24,False,True
NBA,DraftKings,pra,8161,0.5479720622472736,1.57804114490161,3689,0.00023267398926721358,0.3639736333333746,0.7919273133592389,0.4293009601920058,4472,0.575134168157424,8.935400114769073e-24,False,True
NBA,DraftKings,pts_ast,8087,0.4920242364288364,1.422970595627042,4108,-8.76718639221155e-05,-0.14039625874707776,-1.3295615699640886,0.18510521620920728,3979,0.5825584317667756,1.943552087730161e-25,False,True
NBA,DraftKings,pts_reb,10138,0.49289800749654766,1.4694816890134081,5141,0.0008467005416382017,1.520509597015551,1.263205823094719,0.20791589090683313,4997,0.5759455673404043,6.358067641776556e-27,False,True
NBA,DraftKings,reb_ast,8223,0.3170375775264502,1.0817031070195626,5616,0.00312774784787153,3.417062949581708,2.495066048553484,0.013363729826800171,2607,0.5876486382815497,3.4401992508771003e-19,False,True
NBA,DraftKings,rebounds,10198,0.22190625612865267,1.0490499337163057,7935,0.004328294598203157,4.665358101999435,4.7194613718630585,4.314924304869234e-06,2263,0.620415377817057,1.4580608138891864e-30,True,True
NBA,DraftKings,steals,3641,0.06399340840428454,1.0,3408,0.003048920428559925,2.985603489650967,2.5716206194521956,0.01081635131826893,233,0.7081545064377682,1.7511439505374214e-10,False,False
NBA,DraftKings,threes,9672,0.0957402812241522,1.0043196544276458,8746,0.002018005836777327,2.370027923752018,1.3962324822263996,0.16411864033094545,926,0.6706263498920086,1.392801999377172e-25,False,True
NBA,DraftKings,_ALL_,79165,0.3269626728983768,1.332946994282182,53281,0.0024440205058596115,8.273579889630476,5.660919295877871,4.904487535386048e-08,25884,0.5891284191006027,9.236270286433341e-182,True,True
NBA,DraftKings|fd_open,_ALL_,40647,0.3553767805742121,1.335687088958117,26202,0.0035244005087450418,8.064347588287204,7.085731869580757,2.2591873328956054e-11,14445,0.5945309795777085,6.776038783839839e-115,True,True
