key,placed_at,match_date,event_id,market,player,side,line,odds_taken,stake,model_p,ev_claimed,status,result,actual,clv,clv_cal,clv_source,pnl,notes
2706_points_nalyssa smith_under,2026-08-06 13:27:52,2026-08-06,2706,points,NaLyssa Smith,under,11.5,-110,1.0,0.6087,0.1621,settled,lost,14.0,-0.1477,-0.1158,cons@12.5,-1.0,owner fill 2026-08-06; deliberate flat $1 staking (sheet Kelly stake was $1.00)
2711_rebounds_jessica shepard_over,2026-08-06 13:27:52,2026-08-07,2711,rebounds,Jessica Shepard,over,11.5,114,1.0,0.5419,0.1597,settled,lost,11.0,0.1759,0.1141,cons@11.5,-1.0,owner fill 2026-08-06; deliberate flat $1 staking (sheet Kelly stake was $0.50)
2708_assists_julie allemand_under,2026-08-06 20:17:47,2026-08-06,2708,assists,Julie Allemand,under,6.5,100,1.0,0.619,0.238,settled,lost,12.0,-0.1293,-0.0954,cons@7.5,-1.0,owner fill 2026-08-06; deliberate flat $1 staking (sheet Kelly stake was $3.00)
2708_rebounds_megan dileo_under,2026-08-06 20:17:47,2026-08-06,2708,rebounds,Megan DiLeo,under,4.5,102,1.0,0.606,0.2241,settled,won,3.0,-0.058,0.0006,cons@4.5,1.02,owner fill 2026-08-06; deliberate flat $1 staking (sheet Kelly stake was $2.50)
2714_assists_carla leite_under,2026-08-07 13:32:49,2026-08-08,2714,assists,Carla Leite,under,7.5,104,1.0,0.7406,0.5108,settled,won,2.0,-0.081,-0.0462,cons@7.5,1.04,owner fill 2026-08-07; deliberate flat $1 staking (sheet Kelly stake was $5.00)
2714_points_bridget carleton_under,2026-08-07 13:32:49,2026-08-08,2714,points,Bridget Carleton,under,15.5,104,1.0,0.6863,0.4001,settled,lost,24.0,0.0314,0.0658,cons@15.5,-1.0,owner fill 2026-08-07; deliberate flat $1 staking (sheet Kelly stake was $4.50)
2713_rebounds_aliyah boston_under,2026-08-07 13:32:49,2026-08-08,2713,rebounds,Aliyah Boston,under,8.5,112,1.0,0.6205,0.3155,settled,lost,11.0,-0.0917,-0.0309,cons@9.5,-1.0,owner fill 2026-08-07; deliberate flat $1 staking (sheet Kelly stake was $3.50)
2713_rebounds_courtney vandersloot_under,2026-08-07 13:32:49,2026-08-08,2713,rebounds,Courtney Vandersloot,under,3.5,-128,1.0,0.7368,0.3124,settled,won,3.0,-0.0423,0.0089,cons@3.5,0.78,owner fill 2026-08-07; deliberate flat $1 staking (sheet Kelly stake was $5.00)
2713_assists_natasha cloud_under,2026-08-07 13:32:49,2026-08-08,2713,assists,Natasha Cloud,under,6.5,-125,1.0,0.7121,0.2818,settled,won,4.0,0.0379,0.0679,cons@6.5,0.8,owner fill 2026-08-07; deliberate flat $1 staking (sheet Kelly stake was $4.50)
2714_points_megan dileo_under,2026-08-07 13:32:49,2026-08-08,2714,points,Megan DiLeo,under,15.5,-102,1.0,0.6409,0.2692,settled,won,11.0,0.0011,0.0345,cons@15.5,0.98,owner fill 2026-08-07; deliberate flat $1 staking (sheet Kelly stake was $3.50)
2713_assists_caitlin clark_under,2026-08-07 13:32:49,2026-08-08,2713,assists,Caitlin Clark,under,8.5,110,1.0,0.5928,0.2449,settled,lost,11.0,-0.0373,-0.0014,cons@8.5,-1.0,owner fill 2026-08-07; deliberate flat $1 staking (sheet Kelly stake was $2.50)
2712_points_nalyssa smith_under,2026-08-07 13:32:49,2026-08-08,2712,points,NaLyssa Smith,under,12.5,-130,1.0,0.6952,0.23,settled,lost,14.0,-0.0799,-0.0502,cons@12.5,-1.0,owner fill 2026-08-07; deliberate flat $1 staking (sheet Kelly stake was $3.50)
2712_assists_aja wilson_under,2026-08-07 13:32:49,2026-08-08,2712,assists,A'ja Wilson,under,3.5,114,1.0,0.5625,0.2037,settled,won,1.0,0.0842,0.1209,cons@3.5,1.14,owner fill 2026-08-07; deliberate flat $1 staking (sheet Kelly stake was $2.00)
2712_threes_olivia miles_over,2026-08-07 13:32:49,2026-08-08,2712,threes,Olivia Miles,over,1.5,140,1.0,0.4832,0.1597,settled,won,3.0,0.0021,-0.0493,cons@1.5,1.4,owner fill 2026-08-07; deliberate flat $1 staking (sheet Kelly stake was $1.50)
2712_rebounds_jackie young_under,2026-08-07 14:03:50,2026-08-08,2712,rebounds,Jackie Young,under,4.5,112,1.0,0.6544,0.3873,settled,lost,5.0,-0.0802,-0.0192,cons@4.5,-1.0,owner fill 2026-08-07; deliberate flat $1 staking (sheet Kelly stake was $4.00)
2718_assists_cecilia zandalasini_under,2026-08-08 09:49:38,2026-08-09,2718,assists,Cecilia Zandalasini,under,2.5,-162,1.0,0.8238,0.3323,settled,won,2.0,-0.0873,-0.0601,cons@2.5,0.62,owner fill 2026-08-08; deliberate flat $1 staking (sheet Kelly stake was $3.50)
2713_assists_courtney vandersloot_under,2026-08-08 09:49:38,2026-08-08,2713,assists,Courtney Vandersloot,under,6.5,-158,1.0,0.8001,0.3066,settled,won,6.0,-0.1148,-0.0871,cons@6.5,0.63,"owner fill 2026-08-08; deliberate flat $1 staking (sheet Kelly stake was $3.50); second bet on Courtney Vandersloot in event 2713 (rebounds under 3.5 already open) - PROTOCOL one-bet-per-player-per-game not satisfied, user's call"
2713_points_natasha cloud_under,2026-08-08 09:49:38,2026-08-08,2713,points,Natasha Cloud,under,12.5,100,1.0,0.6618,0.3236,settled,lost,17.0,-0.0551,-0.0215,cons@12.5,-1.0,"owner fill 2026-08-08; deliberate flat $1 staking (sheet Kelly stake was $3.00); second bet on Natasha Cloud in event 2713 (assists under 6.5 already open) - PROTOCOL one-bet-per-player-per-game not satisfied, user's call"
2714_points_dominique malonga_under,2026-08-08 09:49:38,2026-08-08,2714,points,Dominique Malonga,under,18.5,-125,1.0,0.6871,0.2367,settled,lost,21.0,-0.1,-0.0697,cons@18.5,-1.0,owner fill 2026-08-08; deliberate flat $1 staking (sheet Kelly stake was $2.50)
2718_points_nneka ogwumike_over,2026-08-08 09:49:38,2026-08-09,2718,points,Nneka Ogwumike,over,14.5,100,1.0,0.597,0.194,settled,won,16.0,-0.0449,-0.0784,cons@14.5,1.0,owner fill 2026-08-08; deliberate flat $1 staking (sheet Kelly stake was $2.00)
2716_threes_kahleah copper_under,2026-08-08 09:49:38,2026-08-09,2716,threes,Kahleah Copper,under,1.5,146,1.0,0.4739,0.1658,settled,lost,2.0,0.0056,0.0588,cons@1.5,-1.0,owner fill 2026-08-08; deliberate flat $1 staking (sheet Kelly stake was $1.00)
2722_points_dearica hamby_over,2026-08-10 10:06:59,2026-08-11,2722,points,Dearica Hamby,over,13.5,-113,1.0,0.646,0.2177,settled,won,19.0,-0.0471,-0.0789,cons@13.5,0.88,owner fill 2026-08-10; deliberate flat $1 staking (sheet Kelly stake was $3.00)
2720_points_jade melbourne_under,2026-08-10 10:06:59,2026-08-10,2720,points,Jade Melbourne,under,9.5,-110,1.0,0.6119,0.1682,settled,won,9.0,-0.1921,-0.1605,cons@10.5,0.91,owner fill 2026-08-10; deliberate flat $1 staking (sheet Kelly stake was $2.00)
2723_threes_sonia citron_under,2026-08-10 10:06:59,2026-08-11,2723,threes,Sonia Citron,under,1.5,-136,1.0,0.6667,0.1569,settled,won,1.0,-0.0653,-0.0271,cons@1.5,0.74,owner fill 2026-08-10; deliberate flat $1 staking (sheet Kelly stake was $2.50)
2719_assists_rhyne howard_over,2026-08-10 10:06:59,2026-08-10,2719,assists,Rhyne Howard,over,3.5,-112,1.0,0.5873,0.1117,settled,won,7.0,-0.0663,-0.0988,cons@3.5,0.89,owner fill 2026-08-10; deliberate flat $1 staking (sheet Kelly stake was $1.50)
2722_points_nneka ogwumike_over,2026-08-10 10:06:59,2026-08-11,2722,points,Nneka Ogwumike,over,15.5,-114,1.0,0.5876,0.103,settled,won,18.0,-0.0275,-0.0591,cons@15.5,0.88,owner fill 2026-08-10; deliberate flat $1 staking (sheet Kelly stake was $1.50)
2722_rebounds_dearica hamby_over,2026-08-10 19:19:50,2026-08-11,2722,rebounds,Dearica Hamby,over,6.5,-136,1.0,0.6426,0.1151,settled,lost,4.0,-0.2078,-0.2576,cons@6.5,-1.0,"owner fill 2026-08-10; deliberate flat $1 staking (sheet Kelly stake was $2.00); second bet on Dearica Hamby in event 2722 (points over 13.5 already open) - PROTOCOL one-bet-per-player-per-game not satisfied, user's call"
2721_rebounds_aliyah boston_under,2026-08-10 19:37:04,2026-08-11,2721,rebounds,Aliyah Boston,under,8.5,114,1.0,0.515,0.1021,settled,won,7.0,-0.1131,-0.0522,cons@9.5,1.14,owner fill 2026-08-10
2723_threes_michaela onyenwere_under,2026-08-10 20:55:36,2026-08-11,2723,threes,Michaela Onyenwere,under,1.5,-114,1.0,0.6479,0.2162,settled,won,0.0,0.0166,0.0578,cons@1.5,0.88,owner fill 2026-08-10; deliberate flat $1 staking (sheet Kelly stake was $3.00)
2723_rebounds_aja wilson_over,2026-08-10 21:20:05,2026-08-11,2723,rebounds,A'ja Wilson,over,9.5,110,1.0,0.5382,0.1302,settled,won,13.0,-0.0363,-0.0966,cons@9.5,1.1,owner fill 2026-08-10; deliberate flat $1 staking (sheet Kelly stake was $1.50)
2725_points_courtney vandersloot_under,2026-08-11 09:35:57,2026-08-12,2725,points,Courtney Vandersloot,under,9.5,-120,1.0,0.6694,0.2272,settled,won,6.0,,,,0.83,owner fill 2026-08-11; deliberate flat $1 staking (sheet Kelly stake was $3.00)
2726_points_kayla mcbride_over,2026-08-11 09:35:57,2026-08-12,2726,points,Kayla McBride,over,15.5,-114,1.0,0.648,0.2164,settled,won,19.0,,,,0.88,owner fill 2026-08-11; deliberate flat $1 staking (sheet Kelly stake was $2.50)
2724_points_nyara sabally_under,2026-08-11 09:35:57,2026-08-12,2724,points,Nyara Sabally,under,13.5,-114,1.0,0.6424,0.2059,settled,won,6.0,-0.0824,-0.0508,cons@13.5,0.88,owner fill 2026-08-11; deliberate flat $1 staking (sheet Kelly stake was $2.50)
2726_threes_megan dileo_under,2026-08-11 09:35:57,2026-08-12,2726,threes,Megan DiLeo,under,1.5,-114,1.0,0.6359,0.1937,settled,won,1.0,,,,0.88,owner fill 2026-08-11; deliberate flat $1 staking (sheet Kelly stake was $2.50)
2726_rebounds_natasha howard_over,2026-08-11 09:35:57,2026-08-12,2726,rebounds,Natasha Howard,over,6.5,108,1.0,0.5712,0.1881,settled,won,12.0,,,,1.08,owner fill 2026-08-11; deliberate flat $1 staking (sheet Kelly stake was $2.00)
2726_threes_napheesa collier_over,2026-08-11 09:35:57,2026-08-12,2726,threes,Napheesa Collier,over,1.5,-106,1.0,0.5953,0.1569,settled,lost,0.0,,,,-1.0,owner fill 2026-08-11; deliberate flat $1 staking (sheet Kelly stake was $2.00)
2724_rebounds_marina mabrey_over,2026-08-11 09:35:57,2026-08-12,2724,rebounds,Marina Mabrey,over,3.5,142,1.0,0.4709,0.1396,settled,lost,2.0,0.063,-0.0057,cons@3.5,-1.0,owner fill 2026-08-11
2725_rebounds_gabby williams_over,2026-08-11 09:35:57,2026-08-12,2725,rebounds,Gabby Williams,over,2.5,-102,1.0,0.5737,0.1362,settled,won,3.0,,,,0.98,owner fill 2026-08-11; deliberate flat $1 staking (sheet Kelly stake was $1.50)
2724_threes_arike ogunbowale_under,2026-08-11 09:35:57,2026-08-12,2724,threes,Arike Ogunbowale,under,1.5,148,1.0,0.4487,0.1128,settled,won,0.0,-0.1284,-0.0775,cons@2.5,1.48,owner fill 2026-08-11
2724_assists_paige bueckers_under,2026-08-11 12:47:38,2026-08-12,2724,assists,Paige Bueckers,under,5.5,116,1.0,0.5626,0.2152,settled,lost,8.0,-0.3409,-0.309,cons@7.5,-1.0,owner fill 2026-08-11; deliberate flat $1 staking (sheet Kelly stake was $2.50)
2726_points_olivia miles_over,2026-08-11 12:47:38,2026-08-12,2726,points,Olivia Miles,over,19.5,-102,1.0,0.6109,0.2098,settled,lost,13.0,,,,-1.0,owner fill 2026-08-11; deliberate flat $1 staking (sheet Kelly stake was $2.50)
2726_points_courtney williams_over,2026-08-11 12:47:38,2026-08-12,2726,points,Courtney Williams,over,12.5,-118,1.0,0.6112,0.1292,settled,lost,10.0,,,,-1.0,owner fill 2026-08-11; deliberate flat $1 staking (sheet Kelly stake was $2.00)
2729_assists_chelsea gray_over,2026-08-12 09:42:07,2026-08-13,2729,assists,Chelsea Gray,over,6.5,118,1.0,0.5484,0.1955,open,,,,,,,owner fill 2026-08-12; deliberate flat $1 staking (sheet Kelly stake was $2.00)
2728_points_rae burrell_under,2026-08-12 09:42:07,2026-08-13,2728,points,Rae Burrell,under,15.5,-114,1.0,0.6358,0.1935,open,,,,,,,owner fill 2026-08-12; deliberate flat $1 staking (sheet Kelly stake was $3.00)
2729_rebounds_jackie young_over,2026-08-12 09:42:07,2026-08-13,2729,rebounds,Jackie Young,over,4.5,122,1.0,0.533,0.1833,open,,,,,,,owner fill 2026-08-12; deliberate flat $1 staking (sheet Kelly stake was $2.00)
2728_points_pauline astier_over,2026-08-12 09:42:07,2026-08-13,2728,points,Pauline Astier,over,7.5,-114,1.0,0.6268,0.1766,open,,,,,,,owner fill 2026-08-12; deliberate flat $1 staking (sheet Kelly stake was $2.50)
2729_threes_aja wilson_under,2026-08-12 09:42:07,2026-08-13,2729,threes,A'ja Wilson,under,0.5,178,1.0,0.4194,0.1659,open,,,,,,,owner fill 2026-08-12
2727_points_angel reese_under,2026-08-12 09:42:07,2026-08-13,2727,points,Angel Reese,under,17.5,-122,1.0,0.6232,0.134,open,,,,,,,owner fill 2026-08-12; deliberate flat $1 staking (sheet Kelly stake was $2.00)
2727_assists_jordin canada_under,2026-08-12 09:42:07,2026-08-13,2727,assists,Jordin Canada,under,8.5,-136,1.0,0.6504,0.1286,open,,,,,,,owner fill 2026-08-12; deliberate flat $1 staking (sheet Kelly stake was $2.50)
2727_threes_diamond miller_over,2026-08-12 09:42:07,2026-08-13,2727,threes,Diamond Miller,over,1.5,162,1.0,0.4258,0.1156,open,,,,,,,owner fill 2026-08-12
2728_points_sabrina ionescu_under,2026-08-12 21:43:19,2026-08-13,2728,points,Sabrina Ionescu,under,18.5,-108,1.0,0.5751,0.1076,open,,,,,,,owner fill 2026-08-12; deliberate flat $1 staking (sheet Kelly stake was $1.50)
2731_assists_jade melbourne_under,2026-08-13 09:40:49,2026-08-14,2731,assists,Jade Melbourne,under,4.5,108,1.0,0.529,0.1003,open,,,,,,,owner fill 2026-08-13
2730_assists_caitlin clark_under,2026-08-13 09:40:49,2026-08-14,2730,assists,Caitlin Clark,under,9.5,-110,1.0,0.599,0.1435,open,,,,,,,owner fill 2026-08-13; deliberate flat $1 staking (sheet Kelly stake was $2.00)
2731_assists_bridget carleton_under,2026-08-13 09:40:49,2026-08-14,2731,assists,Bridget Carleton,under,2.5,-118,1.0,0.6116,0.1299,open,,,,,,,owner fill 2026-08-13; deliberate flat $1 staking (sheet Kelly stake was $2.00)
2731_threes_natisha hiedeman_under,2026-08-13 09:40:49,2026-08-14,2731,threes,Natisha Hiedeman,under,1.5,122,1.0,0.5085,0.1289,open,,,,,,,owner fill 2026-08-13; deliberate flat $1 staking (sheet Kelly stake was $1.50)
